,band_combo,description,is_featured,full_size,large,thumbnail,profile_picture_attribution,sponsor_name,sponsor_website,birthday,date_imported,date_modified,get_age,get_life_stage,name,primary_band,sex,slug,status,study_area,colours,date_deployed,special,style,symbols
116,White 7 on Red,"'Lance' and his sister 'Ruth' were caught and banded at the Chasm, Milford Highway, Fiordland in March 2019. Thousands of people stop at the Chasm to see kea and banding several of them means we can follow some of the local population and their movements. 

Vicky and Steve run the Coffee Cat and are based at the Chasm carpark, they keep an eye on kea, tell people about the local birds and over the years have put in a substantial effort to raise money for the Kea Conservation Trust. Vicky and Steve chose the names for these two kea who are named 'Ruth' and 'Lance Shaw' after an elderly couple they know who have been heavily involved in conservation in Fiordland for many, many years.",False,https://media.keadatabase.nz/media/birds/lance-shaw/Lance_Shaw_kea_Fiordland_Katrine_Bach.jpg,https://media.keadatabase.nz/media/__sized__/birds/lance-shaw/Lance_Shaw_kea_Fiordland_Katrine_Bach-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/lance-shaw/Lance_Shaw_kea_Fiordland_Katrine_Bach-crop-c0-5__0-5-350x250-70.jpg,Katrine Bach,Vicky & Steve from Coffee Cat,,2019-01-01,2019-04-23T01:18:54+12:00,2019-08-18T01:52:43.436708+12:00,0,Fledgling,Lance Shaw,V-0158,Female,lance-shaw,Alive,Fiordland,"['white', 'red']",2019-03-18,,new,['7']
117,White E on Green,"Lenticular was banded in March 2017 as a fledgling at Aspiring Hut by Flo Gaud. Fledglings and juveniles are very inquisitive of everything new and different. With their powerful beak it doesn't take long for them to rip into someones new pack, so it is always a good idea to put gear away inside the hut if you know kea are in the area.",False,https://media.keadatabase.nz/media/birds/lenticular/Lenticular.png,https://media.keadatabase.nz/media/__sized__/birds/lenticular/Lenticular-crop-c0-44__0-3-500x500.png,https://media.keadatabase.nz/media/__sized__/birds/lenticular/Lenticular-crop-c0-44__0-3-350x250.png,Sven Brabyn,,,2017-01-01,2018-04-04T11:00:34.191053+12:00,2018-04-04T11:00:34.200191+12:00,2,Sub-Adult,Lenticular,V-2619,Male,lenticular,Alive,Wanaka,"['white', 'green']",2017-03-03,,new,['E']
118,Black L on White,"Lewis lives at Orana Wildlife Park in Christchurch. He is one of Blue and Pūihi’s four chicks and has one older brother Tiki who was born in 2012, and two siblings Arthur and Holly from the same clutch of eggs. He was named after Lewis Pass.
His favourite thing to do is stuffing things into holes. He can often be seen filling up pottles with leaves and stones, and also “helping” the keepers to clean by poking twigs down the drain and picking up stones to drop into the cleaning bucket.
Lewis plays an important role in conservation advocacy, educating visitors on appropriate behavior around his wild cousins, such as driving slowly on roads in the mountains to help protect kea.",False,https://media.keadatabase.nz/media/birds/lewis/lewis03.jpg,https://media.keadatabase.nz/media/__sized__/birds/lewis/lewis03-crop-c0-36__0-33-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/lewis/lewis03-crop-c0-36__0-33-350x250-70.jpg,Orana Park,,,2014-09-08,2017-10-13T11:15:22+13:00,2017-10-13T11:15:47.631368+13:00,5,Adult,Lewis,,Male,lewis,Alive,Orana Park,"['black', 'white']",2017-09-07,,new,['L']
119,Yellow 8 on Red,Lindsay was banded as a fledgling in August 2018 in Arthur's Pass township by Mark and Lydia. This was part of an organised trip lead by Laura Young to determine lead levels in the Arthur's Pass kea population. Unfortunately old baches in the township have lead nails and flashings and the kea will often chew the lead as it tastes sweet. An effort is being made to replace or cover the lead on buildings where this is prevalent.,False,https://media.keadatabase.nz/media/birds/lindsay/Lindsay.JPG,https://media.keadatabase.nz/media/__sized__/birds/lindsay/Lindsay-crop-c0-5__0-46-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/lindsay/Lindsay-crop-c0-5__0-46-350x250-70.JPG,Mark Brabyn,Lindsay Walton,,2018-01-01,2018-08-29T10:25:26+12:00,2018-08-29T10:25:40.091797+12:00,1,Juvenile,Lindsay,V-2168,Male,lindsay,Alive,Waimakariri,"['yellow', 'red']",2018-08-24,,new,['8']
120,White ☰☰☰ on Red,"Loki is named after the Norse god Thor's trickster brother. He is a young male and is low in the pecking order, but the boldest one of the young males. He always wants to be first and loves kicking the others away when its his turn to get attention. Also he is a very fast learner and loves to do everything for his share of the peanut butter reward used during training.",False,https://media.keadatabase.nz/media/birds/loki-w/loki_4.jpg,https://media.keadatabase.nz/media/__sized__/birds/loki-w/loki_4-crop-c0-62__0-42-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/loki-w/loki_4-crop-c0-62__0-42-350x250-70.jpg,Willowbank,,,2014-08-14,2018-06-18T14:25:25+12:00,2018-06-18T14:25:26.710422+12:00,5,Adult,Loki W,,Male,loki-w,Alive,Willowbank,"['red', 'white']",2017-10-13,,new,[]
121,Black 9 on Grey,"Lorna is a lovely female kea nearing breeding age, often seen at French Ridge Hut in the Matukituki.",False,https://media.keadatabase.nz/media/birds/lorna/Lorna_Black_9_Grey_French_Ridge_hut.jpg,https://media.keadatabase.nz/media/__sized__/birds/lorna/Lorna_Black_9_Grey_French_Ridge_hut-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/lorna/Lorna_Black_9_Grey_French_Ridge_hut-crop-c0-5__0-5-350x250-70.jpg,Richard Sidey,,,2015-01-01,2018-04-04T11:00:25.591997+12:00,2018-04-04T11:00:25.606946+12:00,4,Adult,Lorna,V-2147,Female,lorna,Alive,Wanaka,"['black', 'grey']",2018-01-30,,new,['9']
122,White ◊ on Red,"Luciano was named by Dr Laura Young on the February 2017 Hawdon summer follow-up survey. He was caught just above the bushline on the track from Hawdon Hut to Walker Pass. Laura completed her PhD thesis on the importance kea play in seed dispersal of our alpine plants (key finding: kea are VITAL for the long-distance movement of seed between NZ's mountain ranges).

August 2017 Update: Luciano has been spotted in the trail cameras visiting Sally's cavity and hanging around with her. Could he be the father of any of her chicks or is he previous offspring or just a casual visitor? Stay tuned and we will learn more as the season goes on. (Ah, the power of remote videography.)",False,https://media.keadatabase.nz/media/birds/luciano/Luciano.JPG,https://media.keadatabase.nz/media/__sized__/birds/luciano/Luciano-crop-c0-41__0-64-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/luciano/Luciano-crop-c0-41__0-64-350x250-70.JPG,Laura Young,,,2013-01-01,2017-06-28T00:21:37.389434+12:00,2018-04-04T11:00:25.736600+12:00,6,Adult,Luciano,V-1013,Male,luciano,Alive,Waimakariri,"['white', 'red']",2017-02-19,diamond,new,['◊']
123,Yellow Y on Black,"'Lulu' - a lovely name for a beautlful female kea. Sue Streatfield who works for DOC organised a kea banding trip with us in March 2019 to understand the kea population along the Milford Highway sites and how we can get better advocacy and conservation work to happen in this area.

Sue named this wonderful kea 'Lulu' after their old, much-loved rescue dog who is now 13. Lulu is bird, human, dog and cat friendly. Sue and her partner Toby often reflect on how parrots live for so long (20-30 years) and dogs only half that. 

Did you know that the oldest kea in captivity is over 50 years old, while the oldest kea we know of from the wild was at least 20?",False,https://media.keadatabase.nz/media/birds/lulu/TobyMansonPhoto_Kea_MilfordSound-2017-keaflying.jpg,https://media.keadatabase.nz/media/__sized__/birds/lulu/TobyMansonPhoto_Kea_MilfordSound-2017-keaflying-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/lulu/TobyMansonPhoto_Kea_MilfordSound-2017-keaflying-crop-c0-5__0-5-350x250-70.jpg,Toby Manson,,,2019-01-01,2019-04-23T00:49:29+12:00,2019-04-23T00:49:30.535874+12:00,0,Fledgling,Lulu,V-1358,Female,lulu,Alive,Fiordland,"['yellow', 'black']",2019-03-20,,new,['Y']
124,White B on Orange,"MacArthur was banded at Arthur's Pass village but has been seen far away from there since. This is great news because it's safer for kea to live in the wild mountains than in townships, surrounded by cars, human foods and other dangers.",False,https://media.keadatabase.nz/media/birds/macarthur/McArthur_White_B_on_Orange.jpg,https://media.keadatabase.nz/media/__sized__/birds/macarthur/McArthur_White_B_on_Orange-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/macarthur/McArthur_White_B_on_Orange-crop-c0-5__0-5-350x250-70.jpg,Cath Snelling,,,2019-01-01,2019-07-29T15:34:22+12:00,2019-07-29T15:34:25.061640+12:00,0,Fledgling,MacArthur,V-2167,Male,macarthur,Alive,Waimakariri,"['white', 'orange']",2019-05-04,,new,['B']
125,Black K on Grey,"Mactrac was banded at Death's Corner (Viaduct Lookout) in Arthur's Pass in August 2017 as a fledgling.
Mactrac is named and sponsored by Tetral Industries after one of their product ranges. Tetral have supplied Bitufoam Circular Corrugate at cost price,  to replace lead flashings on roofs in areas that kea frequent. Unfortunately, kea will chew on the lead flashings as it tastes sweet to them, and unless treated results in them becoming very sick or dying.",False,https://media.keadatabase.nz/media/birds/mactrac/Mactrac.jpeg,https://media.keadatabase.nz/media/__sized__/birds/mactrac/Mactrac-crop-c0-64__0-36-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/mactrac/Mactrac-crop-c0-64__0-36-350x250-70.jpeg,Mark Brabyn,Tetral Industries,http://tetral.co.nz/,2017-01-01,2017-11-02T12:44:57+13:00,2018-04-04T11:00:34.803922+12:00,2,Sub-Adult,Mactrac,V-2532,Male,mactrac,Alive,Waimakariri,"['black', 'grey']",2017-08-30,,new,['K']
126,Yellow X on Blue,"Mai Fem was banded in the Karangaru  in 2012. She was fitted with a transmitter, and her nest cavity was located. She has had several broods but some have been prey upon, most likely by stoats.",False,https://media.keadatabase.nz/media/birds/mai-fem/Mai_Fem_2012_16.10.2012.JPG,https://media.keadatabase.nz/media/__sized__/birds/mai-fem/Mai_Fem_2012_16.10.2012-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/mai-fem/Mai_Fem_2012_16.10.2012-crop-c0-5__0-5-350x250-70.JPG,Jacinda Amey,,,2007-01-01,2017-06-28T00:21:25.631030+12:00,2018-04-04T11:00:34.953370+12:00,12,Adult,Mai Fem,V-0342,Female,mai-fem,Alive,Westland,"['yellow', 'blue']",2012-09-04,,new,['X']
127,Black D on Light Blue,"Makimaki is often seen being rather aggressive towards visitors on the Milford Road, particularly near Homer Tunnel. He comes and goes from the area and when he is around, he certainly makes his presence known! He jumps up onto people, bites on their shoes while they're walking and pecks at them!! In fact, in mid 2018, someone reported Makimaki to DOC and the Dunedin Wildlife Hospital as being very sick. He was taken in for assessment and to be treated with suspected lead poisoning but upon arrival, absolutely nothing was found to be the matter with him so he was released and is coping just fine in the wild! 
Makimaki would have to be one of the most cheeky, unruly kea we have ever encountered.",False,https://media.keadatabase.nz/media/birds/makimaki/kea2_Rebecca_Soffe.jpg,https://media.keadatabase.nz/media/__sized__/birds/makimaki/kea2_Rebecca_Soffe-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/makimaki/kea2_Rebecca_Soffe-crop-c0-5__0-5-350x250-70.jpg,Rebecca Soffe,Dunedin Wildlife Hospital,https://www.wildlifehospitaldunedin.org.nz/,2018-01-01,2019-04-23T02:05:06+12:00,2019-04-23T02:05:06.435666+12:00,1,Juvenile,Makimaki,V-1912,Male,makimaki,Alive,Fiordland,"['black', 'lightblue']",2019-03-18,,new,['D']
128,White L on Blue,Martin was banded in the Leslie Arthur area of Kahurangi National Park in 2014. He had a transmitter fitted by Corey Mosen.,False,https://media.keadatabase.nz/media/birds/martin/Martin_26Nov15.JPG,https://media.keadatabase.nz/media/__sized__/birds/martin/Martin_26Nov15-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/martin/Martin_26Nov15-crop-c0-5__0-5-350x250-70.JPG,Corey Mosen,,,2010-01-01,2017-06-28T00:21:25.914171+12:00,2018-04-04T11:00:35.343033+12:00,9,Adult,Martin,V-1230,Male,martin,Alive,Kahurangi,"['white', 'blue']",2014-01-30,,new,['L']
129,White M on Blue,"Martina was banded by George and Laura at Porters Ski Field in August 2017.

She is named after bird behavioural scientist Martina Schiestl, who has done some research work with kea.",False,https://media.keadatabase.nz/media/birds/martina/martina.jpg,https://media.keadatabase.nz/media/__sized__/birds/martina/martina-crop-c0-65__0-33-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/martina/martina-crop-c0-65__0-33-350x250-70.jpg,Coco Shale,,,2013-01-01,2018-03-08T12:23:38+13:00,2018-04-04T11:00:35.375973+12:00,6,Adult,Martina,V-0632,Female,martina,Alive,Waimakariri,"['white', 'blue']",2017-08-17,,new,['M']
130,Black U on White,Marvin was banded at Deaths Corner in January 2015 by Cleo Reid. He was sighted there again by himself in October 2016.,False,https://media.keadatabase.nz/media/birds/marvin/Marvin__3yr_male.jpg,https://media.keadatabase.nz/media/__sized__/birds/marvin/Marvin__3yr_male-crop-c0-39__0-33-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/marvin/Marvin__3yr_male-crop-c0-39__0-33-350x250-70.jpg,,,,2014-01-01,2017-06-28T00:21:25.945232+12:00,2018-04-04T11:00:35.426214+12:00,5,Adult,Marvin,V-1611,Male,marvin,Alive,Waimakariri,"['white', 'black']",2015-01-22,,new,['U']
131,Black X on Green,"'Mātauranga'  means knowledgeable person, sage, scholar, intellectual, academic in te reo Māori. Kea solve every intelligence test in double-quick time - they are the intellectuals of the bird world!",False,https://media.keadatabase.nz/media/birds/matauranga/IMG_6928.jpg,https://media.keadatabase.nz/media/__sized__/birds/matauranga/IMG_6928-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/matauranga/IMG_6928-crop-c0-5__0-5-350x250-70.jpg,Kate le Comte,,,2019-01-01,2019-05-07T23:55:58+12:00,2019-08-18T01:52:44.253137+12:00,0,Fledgling,Matauranga,V-2968,Male,matauranga,Alive,Waimakariri,"['black', 'green']",2019-03-29,,new,['X']
132,Black J on Grey,"'Matty' is named after the a young chap from Newcastle, England, that we hauled out of the White Horse Hill campground to come and help us when we caught three kea in one go! He helped us move the kea to a comfortable, dry area for banding, passed us our gear and took notes for us.

A lot of kea research went on in the area until about ten years ago. Researchers from Vienna, Austria spent a lot of time around Aoraki observing kea to gain a better understanding of their behavioural biology. Several PhD students from the University of Canterbury also spent time in the area researching the then reasonably plentiful kea population. Not a lot has happened since but hopefully things are about to change! With the beginnings of the kea sighting project kicking off in other areas where kea and humans interact, and the Kea Conservation Trust's lead removal project, there will be more work happening here. Watch this space.",False,https://media.keadatabase.nz/media/birds/matty/Matty_Aoraki.jpg,https://media.keadatabase.nz/media/__sized__/birds/matty/Matty_Aoraki-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/matty/Matty_Aoraki-crop-c0-5__0-5-350x250-70.jpg,Cam Mulvey,,,2019-01-01,2019-04-17T14:14:17+12:00,2019-04-17T14:14:17.923720+12:00,0,Fledgling,Matty,V-1440,Male,matty,Alive,Aoraki,"['black', 'grey']",2019-03-14,,new,['J']
133,Black 7 on White,"Maungatere was banded at Temple Basin Ski field in August 2017 with the help of Forest, the ski field manager. In this photo Maungatere is puffed up, trying to look as big as possible which is thought to be an aggressive or defensive behaviour. He is now often seen around Arthur's Pass Village.

Pegasus Bay School sponsored and named Maungatere after a visit and talk to the school from the Kea Sighting Project.

Maungatere is a significant place for the school. ""This is the name of our local Maunga (mountain) and what our learning community is named after. Maungatere signifies aspiring to reach for the top and to always try your best.""

Maungatere was treated for lead poisoning in May 2019 and then released into the Hawdon valley.",False,https://media.keadatabase.nz/media/birds/maungatere/Black7onWhite.jpeg,https://media.keadatabase.nz/media/__sized__/birds/maungatere/Black7onWhite-crop-c0-53__0-38-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/maungatere/Black7onWhite-crop-c0-53__0-38-350x250-70.jpeg,Mark Brabyn,Pegasus Bay School,http://www.pegasusbay.school.nz/Home/,2017-01-01,2018-02-21T08:37:35+13:00,2018-04-04T11:00:35.579585+12:00,2,Sub-Adult,Maungatere,V-2537,Male,maungatere,Alive,Waimakariri,"['white', 'black']",2017-08-30,,new,['7']
134,Black : on Grey,McGregor was banded by Corey Mosen at Death's Corner in August 2016. He has been sighted again at Arthur's Pass Township with Hohoro and 5 other kea.,False,https://media.keadatabase.nz/media/birds/mcgregor/McGregor.JPG,https://media.keadatabase.nz/media/__sized__/birds/mcgregor/McGregor-crop-c0-39__0-31-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/mcgregor/McGregor-crop-c0-39__0-31-350x250-70.JPG,,,,2015-01-01,2017-06-28T00:21:26.143013+12:00,2018-04-04T11:00:35.717666+12:00,4,Adult,McGregor,V-2501,Male,mcgregor,Alive,Waimakariri,"['black', 'grey']",2016-08-09,,new,[':']
135,White 4 on Red,Mellow Yellow was banded by Lucy Rossiter at Broken River Ski Field in July 2013.,False,https://media.keadatabase.nz/media/birds/mellow-yellow/Mellow_Yellow_V-0380_W_4_R.jpg,https://media.keadatabase.nz/media/__sized__/birds/mellow-yellow/Mellow_Yellow_V-0380_W_4_R-crop-c0-39__0-53-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/mellow-yellow/Mellow_Yellow_V-0380_W_4_R-crop-c0-39__0-53-350x250-70.jpg,,,,2011-01-01,2017-06-28T00:21:26.261727+12:00,2018-04-04T11:00:35.866460+12:00,8,Adult,Mellow Yellow,V-0380,Male,mellow-yellow,Alive,Waimakariri,"['white', 'red']",2013-07-02,,new,['4']
137,White C on Red,"This cheeky little monkey likes to get up to mischief at Monkey Creek, Milford Highway, Fiordland, with his siblings and older male 'Huckleberry'.",False,https://media.keadatabase.nz/media/birds/monkey-c/Monkey_-_Monkey_Creek_-_Junwei_Ho.jpg,https://media.keadatabase.nz/media/__sized__/birds/monkey-c/Monkey_-_Monkey_Creek_-_Junwei_Ho-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/monkey-c/Monkey_-_Monkey_Creek_-_Junwei_Ho-crop-c0-5__0-5-350x250-70.jpg,Junwei Ho,,,2019-01-01,2019-04-22T12:12:07+12:00,2019-04-22T12:13:40.809028+12:00,0,Fledgling,Monkey C,V-2145,Female,monkey-c,Alive,Fiordland,"['white', 'red']",2019-03-20,,new,['C']
138,White ☰☰☰ on Orange,"Moriarty is named after Sherlock Holmes' nemesis. He is a sub-adult male so is low in the hierarchy of the kea flock. However he is always involved in social behaviour with other kea and trying to get his share by competing with the other young males, which is sometimes very difficult as he is less of a bully then the his brothers.",False,https://media.keadatabase.nz/media/birds/moriarty/Moriarty.JPG,https://media.keadatabase.nz/media/__sized__/birds/moriarty/Moriarty-crop-c0-54__0-31-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/moriarty/Moriarty-crop-c0-54__0-31-350x250-70.JPG,Mark Brabyn,,,2014-08-14,2017-10-13T11:12:43+13:00,2017-10-13T11:12:45.744646+13:00,5,Adult,Moriarty,,Male,moriarty,Alive,Willowbank,"['orange', 'white']",2017-10-13,,new,[]
139,Yellow C on Blue,"Morrocan, short for 'Morrocan Lamb', was banded by Brent Barrett in 2012. She also carried a transmitter for a number of years. Someday we really must find out why this name was chosen!",False,https://media.keadatabase.nz/media/birds/morrocan/Morrocan_5Nov2012.JPG,https://media.keadatabase.nz/media/__sized__/birds/morrocan/Morrocan_5Nov2012-crop-c0-5__0-6-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/morrocan/Morrocan_5Nov2012-crop-c0-5__0-6-350x250-70.JPG,,,,2007-01-01,2017-06-28T00:21:27.104858+12:00,2018-04-04T11:00:36.751581+12:00,12,Adult,Morrocan,V-1278,Female,morrocan,Alive,Waimakariri,"['yellow', 'blue']",2012-01-21,,new,['C']
140,Red W on White,Mosca was banded and fitted with a transmitter in Okarito Forest in 2009. The transmitter aerial can be seen protruding from her back feathers in this photo of her with three big downy chicks..,False,https://media.keadatabase.nz/media/birds/mosca/Mosca_2012_16.09.12.JPG,https://media.keadatabase.nz/media/__sized__/birds/mosca/Mosca_2012_16.09.12-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/mosca/Mosca_2012_16.09.12-crop-c0-5__0-5-350x250-70.JPG,,,,2006-01-01,2017-06-28T00:21:27.118165+12:00,2018-04-04T11:00:36.775972+12:00,13,Adult,Mosca,V-1589,Female,mosca,Alive,Westland,"['white', 'red']",2011-11-29,,new,['W']
141,White 8 on Green,Neddy was banded by Paul van Klink and Neil Pilbrow as part of the Kea Conservation Trust Summer Survey in January 2012.,False,https://media.keadatabase.nz/media/birds/neddy/Neddy_2-Feb_2017a.jpg,https://media.keadatabase.nz/media/__sized__/birds/neddy/Neddy_2-Feb_2017a-crop-c0-52__0-36-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/neddy/Neddy_2-Feb_2017a-crop-c0-52__0-36-350x250-70.jpg,Amanda Chinnery,,,2012-01-01,2017-06-28T00:21:27.438708+12:00,2018-06-18T14:35:02.838727+12:00,7,Adult,Neddy,V-1506,Male,neddy,Alive,Waimakariri,"['white', 'green']",2012-01-16,,new,['8']
142,Yellow ○ on Black,Neo is one of the most inquisitive birds at Willowbank. He is first to check out every person who comes into their home. He is also very good at the intelligence training carried out by Auckland University psychology department. If they are starting something new Neo is always the first to solve the task and he can work endless.,False,https://media.keadatabase.nz/media/birds/neo/neo01.jpg,https://media.keadatabase.nz/media/__sized__/birds/neo/neo01-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/neo/neo01-crop-c0-5__0-5-350x250-70.jpg,Willowbank,,,2012-09-28,2017-10-13T11:11:54+13:00,2017-10-13T11:11:55.192949+13:00,6,Adult,Neo,,Male,neo,Alive,Willowbank,"['yellow', 'black']",2017-10-13,oval,new,['○']
143,White D on Red,"This kea 'Norm' was banded at Homer Tunnel, Milford Rd, Fiordland, and named after Norm MacDonald in the Te Anau DOC office.

Norm is a living legend and has been instrumental in innovations in deer eradication, pig hunting, island eradications and pioneering thermal imaging. Norm has long standing and close ties to the Wapiti Foundation that have been partnering with the Kea Conservation Trust in Fiordland for some years now. He undoubtedly has a catalogue of personal stories involving kea from his long career at DOC. Aside from that he is one of the nicest of blokes who is universally liked by all who meet him.",False,https://media.keadatabase.nz/media/birds/norm/TobyMansonPhoto_Kea_MilfordSound-2017-16.jpg,https://media.keadatabase.nz/media/__sized__/birds/norm/TobyMansonPhoto_Kea_MilfordSound-2017-16-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/norm/TobyMansonPhoto_Kea_MilfordSound-2017-16-crop-c0-5__0-5-350x250-70.jpg,Toby Manson,,,2017-01-01,2019-04-23T00:33:45+12:00,2019-04-23T00:33:51.406032+12:00,2,Sub-Adult,Norm,V-0454,Male,norm,Alive,Fiordland,"['white', 'red']",2019-03-17,,new,['D']
144,White X on Orange,Norman was banded by Amanda Greer in November 2011 at Deaths Corner. In September 2012 he was caught again and fitted with a GPS logger. In August 2013 he was reported to be harassing people in a roadworks traffic queue near Candys Bend.,False,https://media.keadatabase.nz/media/birds/norman/Norman_11Aug2012.JPG,https://media.keadatabase.nz/media/__sized__/birds/norman/Norman_11Aug2012-crop-c0-64__0-29-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/norman/Norman_11Aug2012-crop-c0-64__0-29-350x250-70.JPG,,,,2008-01-01,2017-06-28T00:21:27.793790+12:00,2018-04-04T11:00:37.471945+12:00,11,Adult,Norman,V-1694,Male,norman,Alive,Waimakariri,"['white', 'orange']",2011-11-11,,new,['X']
145,Yellow W on Black,"Pari refers to bluff or cliff in Te Reo Maori. Pari was a newly hatched fledgling when he was caught during one of the summer surveys in the Hawdon Valley - one of the long-term kea research sites. Laura Young, along with Hori Barsdell and Renny Bishop caught this curious young one on the edge of a bluff near the head of the valley in January 2017.",False,https://media.keadatabase.nz/media/birds/pari/Pari_Hawdon_2017.jpg,https://media.keadatabase.nz/media/__sized__/birds/pari/Pari_Hawdon_2017-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/pari/Pari_Hawdon_2017-crop-c0-5__0-5-350x250-70.jpg,Laura Young,,https://www.ecan.govt.nz/,2017-01-01,2017-06-28T00:21:37.077627+12:00,2018-04-04T11:00:38.051767+12:00,2,Sub-Adult,Pari,V-2581,Female,pari,Alive,Waimakariri,"['yellow', 'black']",2017-01-11,,new,['W']
146,Yellow 7 on Black,"Paul the kea is an adult male who often frequents the cafe and various other locations around Arthur's Pass village. He often hangs out with Kauri (Black Y on Yellow band) and in 2017 spent some time in the Wildlife Hospital in Christchurch receiving chelation treatment for his lead poisoining. He has since recovered and has now been healthy and lead-free for over a year!

Paul is named after one of the locals who has helped on this project. 
He also sponsored by the wonderful, generous Meg Mason and family. Meg's brother in law is called Paul and has a home in Arthur’s Pass.",False,https://media.keadatabase.nz/media/birds/paul/Paul3.jpeg,https://media.keadatabase.nz/media/__sized__/birds/paul/Paul3-crop-c0-46__0-32-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/paul/Paul3-crop-c0-46__0-32-350x250-70.jpeg,Mark Brabyn,Meg Mason and family,,2013-01-01,2017-06-28T00:21:28.289742+12:00,2018-06-18T14:35:03.422348+12:00,6,Adult,Paul,V-2321,Male,paul,Alive,Waimakariri,"['yellow', 'black']",2017-01-12,,new,['7']
147,White V on Orange,"Peggy was caught as a very fresh fledgling during the 2012 Hawdon kea survey by Paddy Dracophyllum and Jane Gosden. Peggy was with her parents when she was caught and was named after Jane's Mum.

The photo shows Peggy before she was banded!",False,https://media.keadatabase.nz/media/birds/peggy/DSC_2008.JPG,https://media.keadatabase.nz/media/__sized__/birds/peggy/DSC_2008-crop-c0-69__0-33-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/peggy/DSC_2008-crop-c0-69__0-33-350x250-70.JPG,Jane Gosden,,,2012-01-01,2017-06-28T00:21:28.438959+12:00,2018-04-04T11:00:38.190759+12:00,7,Adult,Peggy,V-2282,Female,peggy,Alive,Waimakariri,"['white', 'orange']",2012-01-21,,new,['V']
148,Black R on Yellow,"This male juvenile kea was banded at Mt. Hutt Ski Area in August 2017 by Mark Brabyn and George Moon. 

He had some rubbish (rope material) stuck around one of his feet, which we were fortunately able to remove. 

Mt. Hutt held a naming competition on Facebook, with Percy winning the poll by a wide margin.

Percy has been sighted hanging out with a juvenile female kea in the car-park.",False,https://media.keadatabase.nz/media/birds/percy/P1030377.JPG,https://media.keadatabase.nz/media/__sized__/birds/percy/P1030377-crop-c0-33__0-69-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/percy/P1030377-crop-c0-33__0-69-350x250-70.JPG,Matai Brabyn,Mt Hutt (NZ Ski),https://www.nzski.com/mt-hutt,2017-01-01,2017-09-12T14:49:51+12:00,2018-04-04T11:00:38.231505+12:00,2,Sub-Adult,Percy,V-2641,Male,percy,Alive,Waimakariri,"['yellow', 'black']",2017-08-05,,new,['R']
